RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,LAT,LON,PRICE_PER_SQM,PRICE_PER_PYEONG
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64821,52.66,0.0,20.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1230.9,4069.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66150,52.66,0.0,20.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1256.2,4152.6
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,62859,52.66,0.0,9.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1193.7,3946.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,7.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,62859,52.66,0.0,8.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1193.7,3946.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,63492,52.66,0.0,11.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1205.7,3985.8
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,62859,52.66,0.0,7.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1193.7,3946.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,6.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,6.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,6.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11320,도봉구,10700,창동,1,대지,821,0,초안산신도브래뉴,2026-09-02,65000,84.999,0.0,14.0,,,2005,아파트,중개거래,"서울 강북구, 서울 도봉구",37.6334329434769,127.04255535448,764.7,2528.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64994,50.25,0.0,13.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1293.4,4275.7
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64994,50.25,0.0,13.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1293.4,4275.7
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64994,50.25,0.0,12.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1293.4,4275.7
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64994,50.25,0.0,11.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1293.4,4275.7
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64994,50.25,0.0,11.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1293.4,4275.7
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64994,50.25,0.0,12.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1293.4,4275.7
2026,11320,도봉구,10700,창동,1,대지,45,0,삼성래미안,2026-09-02,83000,84.87,0.0,2.0,,,1992,아파트,중개거래,서울 도봉구,37.6490832554147,127.04854019084,978.0,3232.9
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64821,52.66,0.0,11.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1230.9,4069.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,63492,52.66,0.0,12.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1205.7,3985.8
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64821,52.66,0.0,12.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1230.9,4069.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,63492,52.66,0.0,13.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1205.7,3985.8
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,62859,52.66,0.0,6.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1193.7,3946.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,9.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64821,52.66,0.0,13.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1230.9,4069.2
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,62859,52.66,0.0,10.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1193.7,3946.0
2026,11305,강북구,10100,미아동,1,대지,811,0,두산위브트레지움,2026-09-02,100000,84.99,0.0,7.0,,,2011,아파트,중개거래,"서울 강북구, 서울 노원구",37.6177643032662,127.01693069632,1176.6,3889.6
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,10.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11305,강북구,10100,미아동,1,대지,194,2,엘리프미아역1단지,2026-09-02,98608,74.963,0.0,19.0,분양권,,0,아파트,직거래,,37.6292755859794,127.025459152278,1315.4,4348.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,9.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,8.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,7.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,7.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11530,구로구,10800,오류동,1,대지,338,0,동부골든,2026-09-02,58000,71.06,0.0,16.0,,,1998,아파트,중개거래,서울 구로구,37.4992909110144,126.839531583839,816.2,2698.2
2026,11320,도봉구,10600,방학동,1,대지,689,0,동부센트레빌아파트,2026-09-02,63000,84.909,0.0,1.0,,,2005,아파트,중개거래,서울 도봉구,37.6633180819517,127.039531579839,742.0,2452.8
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,9.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11260,중랑구,10400,묵동,1,대지,13,0,신내,2026-09-02,44300,39.84,0.0,3.0,,,1996,아파트,중개거래,서울 중랑구,37.6164130659246,127.08487405604,1111.9,3675.9
2026,11305,강북구,10100,미아동,1,대지,163,21,신일,2026-09-02,50000,84.91,0.0,1.0,,,2003,아파트,직거래,,37.6322484075867,127.026602806568,588.9,1946.6
2026,11620,관악구,10200,신림동,1,대지,1686,0,신림동쌍용아파트,2026-09-02,51000,59.26,0.0,8.0,,,1998,아파트,중개거래,서울 관악구,37.4721459611276,126.911763045766,860.6,2845.0
2026,11320,도봉구,10600,방학동,1,대지,271,1,신동아아파트1,2026-09-02,29000,43.35,0.0,8.0,,,1986,아파트,중개거래,서울 도봉구,37.6609347988243,127.0267260331,669.0,2211.5
2026,11290,성북구,13800,장위동,1,대지,319,0,꿈의숲코오롱하늘채,2026-09-02,129500,84.87,0.0,6.0,,,2017,아파트,중개거래,서울 성북구,37.6197814798825,127.046108919378,1525.9,5044.2
2026,11230,동대문구,10600,장안동,1,대지,333,5,삼현팰리체,2026-09-02,65000,68.04,0.0,8.0,,,2011,아파트,중개거래,서울 동대문구,37.5715294876614,127.075962435804,955.3,3158.1
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64157,52.66,0.0,10.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1218.3,4027.5
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,10.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,64360,50.25,0.0,8.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1280.8,4234.0
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66262,50.25,0.0,20.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1318.6,4359.2
2026,11290,성북구,10300,돈암동,1,대지,552,9,삼성아지오아파트,2026-09-02,61000,84.98,0.0,4.0,,,2007,아파트,중개거래,서울 성북구,37.597425607468,127.012848539041,717.8,2372.9
